step;lr;trainingloss;trainingppl
 4680;1.65; 4.82;  123.74
 4690;1.65; 4.95;  141.21
 4700;1.65; 4.97;  144.60
 4710;1.65; 4.99;  146.49
 4720;1.65; 4.88;  132.01
 4730;1.65; 4.97;  144.03
 4740;1.64; 4.97;  144.75
 4750;1.64; 5.11;  164.97
 4760;1.64; 5.01;  149.48
 4770;1.64; 4.94;  139.31
 4780;1.64; 4.90;  134.70
 4790;1.63; 4.94;  139.10
 4800;1.63; 4.85;  127.65
 4810;1.63; 4.92;  137.63
 4820;1.63; 4.93;  138.07
 4830;1.63; 4.96;  142.53
 4840;1.63; 4.97;  144.63
 4850;1.62; 4.90;  134.30
 4860;1.62; 4.79;  120.51
 4870;1.62; 4.80;  121.65
 4880;1.62; 4.88;  131.66
 4890;1.62; 4.87;  130.66
 4900;1.62; 4.84;  127.04
 4910;1.61; 4.90;  134.09
 4920;1.61; 4.80;  121.89
 4930;1.61; 4.97;  143.55
 4940;1.61; 4.96;  142.35
 4950;1.61; 4.87;  129.70
 4960;1.61; 4.83;  124.76
 4970;1.60; 4.96;  142.05
 4980;1.60; 4.93;  138.95
 4990;1.60; 4.90;  134.64
 5000;1.60; 4.82;  124.14
 5010;1.60; 4.74;  114.70
 5020;1.60; 4.77;  118.05
 5030;1.60; 4.84;  126.73
 5040;1.59; 4.99;  146.84
 5050;1.59; 4.78;  119.63
 5060;1.59; 4.77;  118.02
 5070;1.59; 4.91;  135.89
 5080;1.59; 4.92;  137.53
 5090;1.59; 4.86;  128.67
 5100;1.58; 5.01;  150.50
 5110;1.58; 4.92;  137.55
 5120;1.58; 4.84;  126.52
 5130;1.58; 4.79;  120.61
 5140;1.58; 4.75;  115.64
 5150;1.58; 4.76;  116.48
 5160;1.58; 4.87;  129.90
 5170;1.57; 4.88;  131.71
 5180;1.57; 4.86;  128.90
 5190;1.57; 4.79;  120.23
 5200;1.57; 4.73;  112.73
 5210;1.57; 4.72;  112.56
 5220;1.57; 4.61;  100.70
 5230;1.56; 4.67;  106.53
 5240;1.56; 4.82;  123.37
 5250;1.56; 4.74;  113.96
 5260;1.56; 4.84;  126.29
 5270;1.56; 4.78;  119.61
